listing_id,avg_price,median_price,min_date,max_date,n_observations,n_unique_dates,season_high
1002341236260011015,351.85185185185185,350.0,2025-01-30,2025-04-20,54,54,351.85185185185185
1002785860497857801,600.1641414141415,600.0,2025-01-23,2025-04-20,198,80,600.1641414141415
1004496327455456339,402.64953271028037,380.0,2025-01-10,2025-04-19,214,81,402.64953271028037
1004910078575857573,765.4794520547945,750.0,2025-01-19,2025-03-16,73,27,765.4794520547945
1005860682746801029,399.3671875,385.0,2025-01-30,2025-04-20,128,75,399.3671875
1005958896607152946,249.7826086956522,240.0,2025-01-10,2025-03-31,161,55,249.7826086956522
1006396584243125090,574.9787653846154,601.0,2025-01-17,2025-04-20,208,83,574.9787653846154
1008029204257210230,321.6753278651685,315.0,2025-01-21,2025-03-31,178,68,321.6753278651686
1011115904222911872,809.5878269607844,700.0,2025-01-14,2025-04-17,204,79,809.5878269607844
1011714999685071594,556.5263157894736,557.0,2025-03-24,2025-04-20,57,28,556.5263157894736
1014245162199655907,572.6712962962963,600.0,2025-03-06,2025-04-17,108,43,572.6712962962963
1015691857467598452,1272.4363636363637,1296.0,2025-01-20,2025-03-31,165,55,1272.4363636363637
1016100494032497541,370.6923076923077,369.0,2025-01-07,2025-04-06,78,78,370.6923076923077
1019041007385326527,675.8255813953489,575.0,2025-02-17,2025-04-07,43,43,675.8255813953489
1019453731090411731,452.88211385365855,380.0,2025-01-26,2025-04-20,205,85,452.8821138536586
1019756845213291605,173.32638888888889,179.0,2025-01-23,2025-04-20,72,72,173.32638888888889
1021217453140595481,398.82608695652175,330.0,2025-01-07,2025-04-06,46,46,398.82608695652175
1023885231203292759,520.7996715270937,490.0,2025-01-26,2025-04-20,203,80,520.7996715270937
1024067179174522246,215.5504762857143,200.0,2025-01-26,2025-04-05,70,70,215.5504762857143
1025356251415331533,368.675,350.0,2025-01-17,2025-04-20,80,36,368.675
10266012,121.25,125.0,2025-02-01,2025-04-07,58,58,121.25
1028988415727336651,561.97619,570.0,2025-01-17,2025-04-06,70,70,561.97619
1030981527494824971,297.9887389189189,250.0,2025-02-07,2025-04-08,74,27,297.98873891891895
1031938290013047428,660.0380184331797,627.0,2025-01-15,2025-04-20,217,82,660.0380184331797
1032037416009523135,550.7972972972973,556.0,2025-01-24,2025-03-05,37,37,550.7972972972973
1033202997223117530,1938.8908034482758,1800.0,2025-01-23,2025-03-15,29,29,1938.8908034482758
10340400,300.0,300.0,2025-03-06,2025-03-19,18,6,300.0
1034873975277447845,880.3985258503401,732.0,2025-01-19,2025-04-20,147,62,880.3985258503401
1035628196408986358,1025.3398686274509,941.0,2025-01-31,2025-04-20,102,43,1025.3398686274509
1036955655225647222,463.07142857142856,500.0,2025-01-13,2025-04-07,70,70,463.07142857142856
1037004838842410100,310.7857142857143,330.0,2025-01-28,2025-03-31,35,35,310.7857142857143
1037047027853581998,1035.8394736842106,890.0,2025-01-08,2025-03-31,95,43,1035.8394736842106
1039235354309448898,204.4973544973545,150.0,2025-01-21,2025-04-17,189,75,204.4973544973545
1042032092670718662,411.5138888888889,402.0,2025-01-27,2025-04-11,72,29,411.5138888888889
1043497443334655968,870.8373023809525,870.0,2025-03-06,2025-04-20,42,42,870.8373023809525
1043599286749467076,501.05645161290323,402.25,2025-01-29,2025-03-31,62,62,501.05645161290323
1044223371798078486,801.0714285714286,800.0,2025-01-07,2025-04-06,70,70,801.0714285714286
1044458170286255125,1013.1986724637682,1100.0,2025-02-12,2025-04-16,138,55,1013.1986724637682
1045077329214831775,800.0,800.0,2025-03-20,2025-04-19,31,31,800.0
1045459185575382038,550.9274193548387,550.0,2025-01-12,2025-04-20,248,93,550.9274193548387
1045520246239520927,951.4561493243244,953.57145,2025-01-30,2025-04-20,148,81,951.4561493243244
1045592510645908121,502.9846153846154,500.0,2025-01-09,2025-04-06,65,65,502.9846153846154
1045916135727198441,688.6816673333334,650.0,2025-02-21,2025-04-20,150,59,688.6816673333334
1046547202929220520,415.1524942857143,412.5,2025-01-29,2025-04-20,147,59,415.1524942857143
1047723626454445067,1637.7726156133829,1750.0,2025-01-07,2025-04-20,269,104,1637.7726156133829
1048804459244346908,709.6292682926829,700.0,2025-01-07,2025-04-20,205,82,709.6292682926829
1049417084065072931,646.25,647.25,2025-01-20,2025-01-31,18,12,646.25
1050857413300266721,673.5866666666667,575.0,2025-01-15,2025-04-02,150,58,673.5866666666667
