suburb,n_listings,n_zero_rev,med_reviews,reviews_por_ano,share_apt,preco_anual_proj,share_zero_reviews
Meia Praia,632,4,19.0,5.0,0.9604430379746836,666.4316915162397,0.006329113924050633
Centro,205,16,12.0,2.8333333333333335,0.9414634146341463,580.4755765521257,0.07804878048780488
Morretes,83,1,16.0,8.5,0.8192771084337349,613.1950499880495,0.012048192771084338
Tabuleiro dos Oliveiras,20,1,10.0,6.083333333333334,0.85,607.8869672289983,0.05
Casa Branca,15,0,18.0,6.285714285714286,0.8666666666666667,336.7327426808586,0.0
Ilhota,10,0,33.5,5.9,0.5,478.19624289128694,0.0
Canto da Praia,9,0,35.0,6.333333333333333,0.5555555555555556,888.8322187339381,0.0
Sertaozinho,6,0,18.0,5.7,0.0,1031.93941927162,0.0
Varzea,5,0,19.0,13.0,0.0,621.9708208993422,0.0
Alto Sao Bento,5,0,35.0,5.833333333333333,0.6,666.2767324195175,0.0
Sertao do Trombudo,3,0,28.0,24.0,0.0,624.3389524474187,0.0
na,3,0,41.0,14.333333333333334,0.0,652.694665896794,0.0
Areal,1,0,21.0,4.2,0.0,507.6028020353034,0.0
Jardim Praia Mar,1,0,61.0,10.166666666666666,0.0,179.58487906284944,0.0
Leopoldo Zarling,1,0,14.0,7.0,0.0,198.64662786029555,0.0
