suburb,listing_type,beds_group,n,preco_noite,preco_anual_proj
Casa Branca,apartamento,2 quartos,11,367.8636170712964,339.0151035752879
Centro,apartamento,3 quartos,45,840.082308982224,774.2015730144304
Centro,apartamento,4+ quartos,5,735.3647019854527,677.6961054044431
Centro,apartamento,2 quartos,65,619.6199232608229,571.0282363174491
Centro,apartamento,1 quarto,78,494.796878920988,455.99403521228686
Meia Praia,apartamento,4+ quartos,65,1366.813221613668,1259.625318705068
Meia Praia,apartamento,3 quartos,327,732.9469846378906,675.4679897143811
Meia Praia,apartamento,1 quarto,20,574.8784555771495,529.7954734211087
Meia Praia,apartamento,2 quartos,187,554.8404542783607,511.32888751670794
Meia Praia,casa,3 quartos,5,503.7546240436401,464.24929816743895
Meia Praia,apartamento,studio,8,441.3866731260083,406.77235193271116
Meia Praia,outros,1 quarto,11,182.4211353304144,168.1153482388992
Morretes,apartamento,3 quartos,10,725.9946988593135,669.0609144453622
Morretes,apartamento,2 quartos,51,684.5638573060425,630.8791525407288
Morretes,casa,2 quartos,9,489.90631942417724,451.48700201462475
Tabuleiro dos Oliveiras,apartamento,2 quartos,12,501.8046828681851,462.4522748172487
