suburb,beds_group,n,med_preco,med_m2,med_area,med_condo,med_iptu
Alto Sao Bento,studio,15,651000.0,1198.2570806100218,330.0,0.0,0.0
Alto Sao Bento,2 quartos,45,618710.0,9150.0,69.0,1.0,50.5
Alto Sao Bento,3 quartos,5,690000.0,7324.84076433121,95.0,0.0,0.0
Andorinha,studio,9,2900000.0,16666.666666666668,120.0,1.0,1825.0
Andorinha,1 quarto,13,750000.0,17480.2,48.0,175.5,29.5
Andorinha,2 quartos,72,952000.0,11196.477272727272,83.5,430.0,570.0
Andorinha,3 quartos,477,1699870.0,13743.75,122.0,490.0,725.5
Andorinha,4+ quartos,210,2794000.0,15307.055555555555,185.0,600.0,200.0
Canto da Praia,1 quarto,7,780000.0,14220.689655172413,50.0,500.0,100.0
Canto da Praia,2 quartos,14,1221806.5,14270.114942528737,87.5,1.0,1.0
Canto da Praia,3 quartos,82,2070000.0,14950.0,118.5,0.0,0.0
Canto da Praia,4+ quartos,27,6500000.0,21857.14285714286,300.0,1.0,1.0
Casa Branca,studio,27,1600000.0,1991.6666666666665,400.0,0.0,0.0
Casa Branca,2 quartos,26,676450.0,9130.434782608696,70.0,262.5,90.0
Casa Branca,3 quartos,27,1999900.0,11114.285714285714,190.0,1.0,0.0
Casa Branca,4+ quartos,15,3790000.0,12830.882352941177,300.0,66.0,131.0
Castelo Branco,studio,6,1636923.5,18524.166666666668,89.5,0.0,170.0
Castelo Branco,2 quartos,60,1055000.0,11904.076086956522,86.0,411.5,597.5
Castelo Branco,3 quartos,305,1679750.0,13569.449541284404,126.0,391.0,150.0
Castelo Branco,4+ quartos,137,2550000.0,14414.414414414414,183.0,3.0,470.0
Centro,1 quarto,25,890000.0,19904.761904761905,45.0,450.0,120.0
Centro,2 quartos,92,1122500.0,13009.131075110457,86.0,460.0,682.5
Centro,3 quartos,443,2100000.0,15789.473684210527,131.0,1.0,1.0
Centro,4+ quartos,448,3924900.0,18889.82046039679,200.0,0.0,0.0
Ilhota,studio,5,1200000.0,2000.0,450.0,0.0,0.0
Ilhota,1 quarto,5,220000.0,5333.105263157895,38.0,250.0,60.0
Ilhota,3 quartos,7,2025000.0,15697.67441860465,350.0,0.0,0.0
Ilhota,4+ quartos,34,6005100.0,22117.272914097823,258.0,10.0,100.0
Jardim Praia Mar,1 quarto,6,710000.0,11912.186379928316,62.5,0.0,0.0
Jardim Praia Mar,2 quartos,88,729990.5,10822.4765625,64.0,220.0,1.0
Jardim Praia Mar,3 quartos,8,702191.0,10103.182194616977,69.5,201.5,800.0
Meia Praia,studio,30,1825000.0,14167.33870967742,147.0,0.0,0.0
Meia Praia,1 quarto,62,882722.5,21125.0,40.0,0.0,480.0
Meia Praia,2 quartos,244,1075000.0,12929.347826086956,85.0,450.0,650.0
Meia Praia,3 quartos,1715,1884860.0,14957.264957264957,129.0,500.0,516.0
Meia Praia,4+ quartos,1411,3700000.0,18617.021276595744,189.0,580.0,1.0
Morretes,studio,100,650000.0,2462.121212121212,283.0,0.0,500.0
Morretes,1 quarto,51,649000.0,12898.550724637682,43.0,0.5,100.0
Morretes,2 quartos,1250,750000.0,11099.67320261438,69.0,3.0,500.0
Morretes,3 quartos,306,790000.0,8333.333333333334,100.0,0.0,500.0
Morretes,4+ quartos,69,5500000.0,25434.782608695652,186.0,126.5,1000.0
Sertao do Trombudo,studio,19,598000.0,1434.0336320754718,265.0,0.0,0.0
Sertao do Trombudo,2 quartos,12,680000.0,10141.405214317278,69.0,240.0,500.0
Tabuleiro dos Oliveiras,2 quartos,112,780469.5,11618.017598343686,69.0,1.0,1.0
Tabuleiro dos Oliveiras,3 quartos,17,885000.0,11285.714285714286,70.0,325.0,1000.0
Varzea,studio,10,3300000.0,1571.4285714285713,2100.0,0.0,500.0
Varzea,2 quartos,30,644900.0,9497.802197802197,70.0,0.0,0.0
Varzea,3 quartos,6,741500.0,8314.285714285714,100.0,0.0,35.0
na,2 quartos,29,744810.0,11637.65625,67.0,0.5,1.0
na,3 quartos,31,1630000.0,12692.307692307691,130.0,300.0,619.5
na,4+ quartos,33,2768000.0,14000.105263157895,230.0,1.0,0.5
