suburb,beds_group,preco_compra,area_m2,condo_anual,iptu_anual,custo_fixo_anual,cenario,ocupacao,receita_bruta,receita_liquida,yield_bruto,yield_liquido,n_oferta,n_compra
Casa Branca,2 quartos,655000.0,69.5,3600.0,100.0,3700.0,conservador,0.25,30935.128201245032,22594.85897105828,0.047229203360679435,0.03449596789474546,11,20
Casa Branca,2 quartos,655000.0,69.5,3600.0,100.0,3700.0,base,0.35,43309.17948174304,33112.802559481584,0.06612088470495121,0.05055389703737646,11,20
Casa Branca,2 quartos,655000.0,69.5,3600.0,100.0,3700.0,otimista,0.45,55683.23076224106,43630.7461479049,0.08501256604922298,0.06661182618000748,11,20
Centro,1 quarto,890000.0,42.0,5400.0,120.0,5520.0,conservador,0.25,41609.45571312118,29848.037356153,0.046752197430473236,0.03353712062489101,78,22
Centro,1 quarto,890000.0,42.0,5400.0,120.0,5520.0,base,0.35,58253.237998369645,43995.2522986142,0.06545307640266253,0.049432867751251906,78,22
Centro,1 quarto,890000.0,42.0,5400.0,120.0,5520.0,otimista,0.45,74897.02028361813,58142.46724107541,0.08415395537485183,0.06532861487761282,78,22
Centro,2 quartos,1150000.0,86.0,5532.0,700.0,6232.0,conservador,0.25,52106.32656396723,38058.37757937214,0.04530984918605846,0.033094241373367084,65,89
Centro,2 quartos,1150000.0,86.0,5532.0,700.0,6232.0,base,0.35,72948.85718955412,55774.528611121,0.06343378886048184,0.04849959009662696,65,89
Centro,2 quartos,1150000.0,86.0,5532.0,700.0,6232.0,otimista,0.45,93791.38781514102,73490.67964286986,0.08155772853490523,0.06390493881988683,65,89
Centro,3 quartos,2100000.0,131.0,12.0,1.0,13.0,conservador,0.25,70645.89353756676,60036.00950693175,0.0336409016845556,0.028588575955681785,45,438
Centro,3 quartos,2100000.0,131.0,12.0,1.0,13.0,base,0.35,98904.25095259347,84055.61330970445,0.04709726235837784,0.04002648252843069,45,438
Centro,3 quartos,2100000.0,131.0,12.0,1.0,13.0,otimista,0.45,127162.6083676202,108075.21711247717,0.06055362303220009,0.051464389101179606,45,438
Centro,4+ quartos,3900000.0,200.0,0.0,0.0,0.0,conservador,0.25,61839.76961815543,52563.80417543211,0.015856351184142418,0.013477898506521053,5,437
